Title	IMDB ID	Rating
Game of Thrones	tt0944947	9.4
Breaking Bad	tt0903747	9.4
The Walking Dead	tt1520211	8.5
The Big Bang Theory	tt0898266	8.3
Dexter	tt0773262	8.7
Sherlock	tt1475582	9.2
Friends	tt0108778	8.9
How I Met Your Mother	tt0460649	8.3
Lost	tt0411008	8.4
Prison Break	tt0455275	8.4
True Detective	tt2356777	9.1
House M.D.	tt0412142	8.7
House of Cards	tt1856010	9.0
Supernatural	tt0460681	8.4
The Simpsons	tt0096697	8.8
Modern Family	tt1442437	8.5
South Park	tt0121955	8.8
Suits	tt1632701	8.6
Homeland	tt1796960	8.4
Band of Brothers	tt0185906	9.5
Arrested Development	tt0367279	9.0
The Office	tt0386676	8.7
Scrubs	tt0285403	8.4
The Sopranos	tt0141842	9.2
Firefly	tt0303461	9.1
The Wire	tt0306414	9.4
Fringe	tt1119644	8.4
Sons of Anarchy	tt1124373	8.5
Spartacus: War of the Damned	tt1442449	8.5
Vikings	tt2306299	8.5
Seinfeld	tt0098904	8.9
Daredevil	tt3322312	8.7
Hannibal	tt2243973	8.5
Fargo	tt2802850	9.0
Futurama	tt0149460	8.5
Doctor Who	tt0436992	8.7
24	tt0285331	8.4
Community	tt1439629	8.5
The X-Files	tt0106179	8.7
Mad Men	tt0804503	8.6
Entourage	tt0387199	8.5
Boardwalk Empire	tt0979432	8.6
It's Always Sunny in Philadelphia	tt0472954	8.7
Better Call Saul	tt3032476	8.8
Avatar: The Last Airbender	tt0417299	9.1
Mr. Robot	tt4158110	8.7
Battlestar Galactica	tt0407362	8.7
Person of Interest	tt1839578	8.3
Parks and Recreation	tt1266020	8.6
Rome	tt0384766	8.8
Downton Abbey	tt1606375	8.6
Twin Peaks	tt0098936	8.9
Death Note: Desu nôto	tt0877057	9.0
Planet Earth	tt0795176	9.5
Shameless	tt1586680	8.6
The IT Crowd	tt0487831	8.5
Six Feet Under	tt0248654	8.7
Freaks and Geeks	tt0193676	8.9
Spartacus: Gods of the Arena	tt1758429	8.6
Narcos	tt2707408	8.9
Archer	tt1486217	8.8
The Newsroom	tt1870479	8.6
Top Gear	tt1628033	8.8
Dragon Ball Z	tt0214341	8.8
Jessica Jones	tt2357547	8.3
Leyla ile Mecnun	tt1831164	8.5
The Office	tt0290978	8.6
Luther	tt1474684	8.6
Oz	tt0118421	8.8
Curb Your Enthusiasm	tt0264235	8.7
Deadwood	tt0348914	8.7
The Legend of Korra	tt1695360	8.6
Justified	tt1489428	8.6
Stargate SG-1	tt0118480	8.3
Star Trek: The Next Generation	tt0092455	8.6
Orphan Black	tt2234222	8.3
Mr. Bean	tt0096657	8.5
Attack on Titan	tt2560140	8.8
Louie	tt1492966	8.6
Fawlty Towers	tt0072500	8.8
Rick and Morty	tt2861424	9.2
The Inbetweeners	tt1220617	8.4
The Shield	tt0286486	8.7
Cosmos: A Spacetime Odyssey	tt2395695	9.3
Black Mirror	tt2085059	8.7
Pride and Prejudice	tt0112130	9.0
Batman: The Animated Series	tt0103359	9.0
Cowboy Bebop	tt0213338	9.0
Silicon Valley	tt2575988	8.4
Banshee	tt2017109	8.3
Star Trek	tt0060028	8.3
Battlestar Galactica	tt0314979	8.6
Hagane no renkinjutsushi	tt1355642	9.0
Adventure Time	tt1305826	8.6
Pushing Daisies	tt0925266	8.4
MythBusters	tt0383126	8.3
Peaky Blinders	tt2442560	8.7
Monty Python's Flying Circus	tt0063929	9.0
The West Wing	tt0200276	8.7
The Twilight Zone	tt0052520	9.1
Flight of the Conchords	tt0863046	8.6
Friday Night Lights	tt0758745	8.6
Naruto: Shippûden	tt0988824	8.5
Extras	tt0445114	8.4
Spaced	tt0187664	8.7
Black Books	tt0262150	8.5
Broadchurch	tt2249364	8.3
Wan pîsu: One Piece	tt0388629	8.7
Dragon Ball Z: Doragon bôru zetto	tt0121220	8.7
Blue Mountain State	tt1344204	8.3
Fullmetal Alchemist	tt0421357	8.6
M*A*S*H	tt0068098	8.4
Coupling	tt0237123	8.6
Boston Legal	tt0402711	8.4
Dr. Horrible's Sing-Along Blog	tt1227926	8.6
Peep Show	tt0387764	8.6
Chappelle's Show	tt0353049	8.7
Carnivàle	tt0319969	8.5
24: Live Another Day	tt1598754	8.4
Generation Kill	tt0995832	8.6
Dragon Ball	tt0280249	8.6
The Daily Show	tt0115147	8.8
Blackadder Goes Forth	tt0096548	8.8
Making a Murderer	tt5189670	8.9
Last Week Tonight with John Oliver	tt3530232	9.1
The Colbert Report	tt0458254	8.6
Only Fools and Horses....	tt0081912	8.9
Whose Line Is It Anyway?	tt0163507	8.6
Black-Adder II	tt0088484	8.7
Bron/Broen	tt1733785	8.6
TVF Pitchers	tt4742876	9.0
Dragon Ball: Doragon bôru	tt0088509	8.6
Black Adder the Third	tt0092324	8.7
The Knick	tt2937900	8.5
Shin Seiki Evangerion	tt0112159	8.6
Father Ted	tt0111958	8.6
Ash vs Evil Dead	tt4189022	8.7
Doctor Who	tt0056751	8.4
Justice League	tt0275137	8.6
Life on Mars	tt0478942	8.3
Red Dwarf	tt0094535	8.4
Samurai Jack	tt0278238	8.4
Trailer Park Boys	tt0290988	8.4
Utopia	tt2384811	8.4
Lucifer	tt4052886	8.3
One-Punch Man	tt4508902	9.1
Agatha Christie's Poirot	tt0094525	8.5
X-Men	tt0103584	8.5
Samurai chanpurû	tt0423731	8.6
Life	tt1533395	9.1
Kôdo giasu: Hangyaku no rurûshu	tt0994314	8.7
Top Gear	tt0163503	8.4
Cosmos	tt0081846	9.3
Master of None	tt4635276	8.3
Southland	tt1299368	8.4
QI	tt0380136	8.7
North & South	tt0417349	8.8
John Adams	tt0472027	8.6
Gravity Falls	tt1865718	8.7
The Venture Bros.	tt0417373	8.6
Behzat Ç.: Bir Ankara Polisiyesi	tt1795096	8.4
Forbrydelsen	tt0826760	8.3
Mystery Science Theater 3000	tt0094517	8.7
Young Justice	tt1641384	8.6
I Love Lucy	tt0043208	8.4
The Jinx: The Life and Deaths of Robert Durst	tt4299972	8.8
The Bugs Bunny Show	tt0053488	8.6
My So-Called Life	tt0108872	8.3
Invader ZIM	tt0235923	8.3
Impractical Jokers	tt2100976	8.6
Steins;Gate	tt1910272	8.7
Lonesome Dove	tt0096639	8.7
Hunter x Hunter	tt2098220	8.8
Jane Eyre	tt0780362	8.4
Kôdo giasu: Hangyaku no rurûshu R2	tt1196006	8.8
The Muppet Show	tt0074028	8.5
Anne of Green Gables	tt0088727	8.3
Riget	tt0108906	8.4
Berserk	tt0318871	8.6
Generation War	tt1883092	8.4
Isler Güçler	tt2311418	8.5
The Adventures of Sherlock Holmes	tt0086661	8.7
Trigun	tt0251439	8.4
I'm Alan Partridge	tt0129690	8.5
Broad City	tt2578560	8.4
The Decalogue	tt0092337	9.1
Jesus of Nazareth	tt0075520	8.5
Dragon Ball Z Kai	tt1409055	8.3
The Thick of It	tt0459159	8.7
Scenes from a Marriage	tt0070644	8.5
Garth Marenghi's Darkplace	tt0397150	8.5
Kôkaku kidôtai: Stand Alone Complex	tt0346314	8.5
Human Planet	tt1806234	9.1
Summer Heights High	tt0934320	8.4
The Blue Planet	tt0296310	9.0
Rurouni Kenshin: Wandering Samurai	tt0182629	8.6
Hellsing Ultimate	tt0495212	8.4
I, Claudius	tt0074006	8.9
Borgen	tt1526318	8.4
The World at War	tt0071075	9.2
Roots	tt0075572	8.4
FLCL	tt0279077	8.3
Through the Wormhole	tt1513168	8.7
My Mad Fat Diary	tt2407574	8.4
The Angry Video Game Nerd	tt1230180	8.6
All in the Family	tt0066626	8.3
Police Squad!	tt0083466	8.5
The Avengers: Earth's Mightiest Heroes	tt1626038	8.3
Permanent Roommates	tt4156586	8.5
Das Boot	tt0081834	9.0
Olive Kitteridge	tt3012698	8.3
Frozen Planet	tt2092588	9.0
Happy Valley	tt3428912	8.3
Monster	tt0434706	8.6
Green Wing	tt0423661	8.3
Foyle's War	tt0310455	8.3
The Prisoner	tt0061287	8.6
Homicide: Life on the Street	tt0106028	8.6
Alfred Hitchcock Presents	tt0047708	8.6
Terriers	tt1493239	8.4
Jeeves and Wooster	tt0098833	8.5
Long Way Round	tt0403778	8.8
Over the Garden Wall	tt3718778	8.9
From the Earth to the Moon	tt0120570	8.8
Ironiya sudby, ili S legkim parom!	tt0073179	8.3
Red vs. Blue: The Blood Gulch Chronicles	tt0401747	8.4
Tengen toppa gurren lagann	tt0948103	8.3
House of Cards	tt0098825	8.6
Kardes Payi	tt3671754	8.6
Gomorra - La serie	tt2049116	8.5
Yu Yu Hakusho: Ghost Files	tt0185133	8.4
State of Play	tt0362192	8.5
Mushi-Shi	tt0807832	8.5
Brigada	tt0337898	8.5
A Bit of Fry and Laurie	tt0101049	8.4
Mr. Show with Bob and David	tt0112084	8.5
Meitantei Conan	tt0131179	8.3
The Kids in the Hall	tt0096626	8.3
Cranford	tt0974077	8.3
Yes Minister	tt0080306	8.6
Brass Eye	tt0118273	8.7
Bleak House	tt0442632	8.4
The League of Gentlemen	tt0184135	8.4
Baccano!	tt1334722	8.4
The Adventures of Brisco County Jr.	tt0105932	8.4
Endeavour	tt2701582	8.5
The New Batman Adventures	tt0118266	8.5
Wentworth	tt2433738	8.4
The Dick Van Dyke Show	tt0054533	8.4
Wire in the Blood	tt0337792	8.3
